	protein_sequence1	protein_sequence2	interaction
0	1399	1468	1
1	2319	120	1
2	443	910	1
3	443	1138	1
4	443	512	1
5	443	2283	1
6	2210	1357	1
7	2210	1789	1
8	2698	2158	1
9	696	2102	1
10	696	389	1
11	1868	1789	1
12	544	1789	1
13	1086	1468	1
14	819	2095	1
15	946	1433	1
16	946	958	1
17	946	2186	1
18	942	2669	1
19	1248	1789	1
20	2443	227	1
21	2269	512	1
22	1973	2592	1
23	349	2490	1
24	634	1906	1
25	2481	574	1
26	684	1789	1
27	1510	1001	1
28	920	2379	1
29	2265	1468	1
30	2265	2650	1
31	2265	227	1
32	2265	737	1
33	1758	1001	1
34	1600	1699	1
35	2369	227	1
36	2198	1523	1
37	2457	1468	1
38	2457	1699	1
39	860	1523	1
40	1763	1142	1
41	1763	1523	1
42	1763	2004	1
43	1763	1467	1
44	327	747	1
45	327	533	1
46	1219	1523	1
47	1755	894	1
48	1755	850	1
49	1755	2379	1
50	2460	792	1
51	2460	645	1
52	2460	2605	1
53	2460	894	1
54	2460	195	1
55	2460	2379	1
56	2460	2305	1
57	2460	373	1
58	2460	581	1
59	414	674	1
60	414	1142	1
61	2480	1468	1
62	2386	524	1
63	2386	2155	1
64	2386	1456	1
65	2386	1023	1
66	2386	1545	1
67	2386	2379	1
68	2386	1789	1
69	2386	2008	1
70	1084	1523	1
71	999	1459	1
72	879	1523	1
73	2227	1764	1
74	2227	1789	1
75	2227	1083	1
76	2227	894	1
77	2227	227	1
78	2227	2493	1
79	2227	1523	1
80	2227	1471	1
81	2227	2454	1
82	2227	1357	1
83	2227	2493	1
84	2031	1789	1
85	2031	1357	1
86	1397	619	1
87	2467	1545	1
88	2467	1471	1
89	2467	2008	1
90	296	1925	1
91	1197	1468	1
92	1197	1471	1
93	1779	2454	1
94	1173	1734	1
95	1291	2379	1
96	1291	2605	1
97	1291	195	1
98	1291	1468	1
99	1291	63	1
100	1715	2638	1
101	1715	1012	1
102	1715	894	1
103	1715	2379	1
104	1715	2605	1
105	1715	195	1
106	1715	2650	1
107	1715	63	1
108	1715	1662	1
109	1715	1468	1
110	2449	1836	1
111	2449	1468	1
112	1380	2008	1
113	1380	228	1
114	1380	2095	1
115	1546	389	1
116	1546	2379	1
117	1546	2008	1
118	1546	1545	1
119	1546	2095	1
120	1040	1142	1
121	1040	674	1
122	494	2574	1
123	1568	2008	1
124	367	1738	1
125	367	596	1
126	367	2157	1
127	367	995	1
