	id
3	3
23	23
33	33
36	36
39	39
40	40
43	43
45	45
48	48
49	49
60	60
74	74
83	83
85	85
97	97
98	98
100	100
116	116
128	128
133	133
149	149
157	157
169	169
186	186
192	192
194	194
200	200
203	203
204	204
224	224
226	226
230	230
241	241
248	248
255	255
261	261
276	276
277	277
279	279
286	286
287	287
291	291
294	294
297	297
311	311
312	312
319	319
322	322
326	326
330	330
332	332
333	333
336	336
343	343
344	344
355	355
383	383
386	386
391	391
394	394
420	420
422	422
423	423
424	424
425	425
444	444
453	453
456	456
474	474
477	477
479	479
481	481
490	490
494	494
496	496
507	507
513	513
525	525
526	526
553	553
555	555
565	565
574	574
578	578
586	586
597	597
603	603
612	612
616	616
617	617
625	625
632	632
633	633
658	658
668	668
672	672
676	676
677	677
683	683
687	687
699	699
703	703
708	708
711	711
713	713
723	723
734	734
742	742
744	744
762	762
774	774
777	777
791	791
800	800
807	807
808	808
810	810
811	811
823	823
826	826
833	833
854	854
858	858
882	882
895	895
899	899
900	900
901	901
912	912
914	914
921	921
928	928
935	935
936	936
956	956
961	961
973	973
983	983
984	984
990	990
993	993
1005	1005
1006	1006
1014	1014
1015	1015
1021	1021
1022	1022
1033	1033
1038	1038
1042	1042
1054	1054
1061	1061
1066	1066
1071	1071
1072	1072
1073	1073
1078	1078
1079	1079
1085	1085
1101	1101
1106	1106
1122	1122
1130	1130
1134	1134
1138	1138
1141	1141
1142	1142
1149	1149
1171	1171
1187	1187
1191	1191
1204	1204
1205	1205
1212	1212
1226	1226
1228	1228
1229	1229
1232	1232
1234	1234
1256	1256
1261	1261
1266	1266
1268	1268
1278	1278
1285	1285
1290	1290
1293	1293
1295	1295
1303	1303
1310	1310
1312	1312
1322	1322
1329	1329
1333	1333
1337	1337
1339	1339
1346	1346
1353	1353
1361	1361
1365	1365
1370	1370
1371	1371
1373	1373
1381	1381
1383	1383
1395	1395
1402	1402
1403	1403
1411	1411
1412	1412
1423	1423
1427	1427
1430	1430
1447	1447
1449	1449
1462	1462
1466	1466
1469	1469
1478	1478
1479	1479
1484	1484
1494	1494
1511	1511
1522	1522
1526	1526
1531	1531
1555	1555
1557	1557
1558	1558
1559	1559
1578	1578
1583	1583
1594	1594
1595	1595
1610	1610
1614	1614
1621	1621
1628	1628
1633	1633
1635	1635
1646	1646
1650	1650
1652	1652
1663	1663
1664	1664
1668	1668
1669	1669
1682	1682
1692	1692
1710	1710
1711	1711
1714	1714
1717	1717
1719	1719
1722	1722
1727	1727
1743	1743
1747	1747
1758	1758
1761	1761
1768	1768
1769	1769
1772	1772
1778	1778
1779	1779
1788	1788
1789	1789
1792	1792
1793	1793
1798	1798
1799	1799
1804	1804
1813	1813
1827	1827
1831	1831
1841	1841
1858	1858
1866	1866
1867	1867
1873	1873
1893	1893
1901	1901
1903	1903
1917	1917
1918	1918
1921	1921
1936	1936
1945	1945
1947	1947
1948	1948
1952	1952
1967	1967
1983	1983
1984	1984
1995	1995
2024	2024
2037	2037
2041	2041
2047	2047
2052	2052
2059	2059
2076	2076
2078	2078
2081	2081
2093	2093
2099	2099
2104	2104
2112	2112
2114	2114
2122	2122
2129	2129
2131	2131
2132	2132
2139	2139
2147	2147
2148	2148
2165	2165
2167	2167
2168	2168
2172	2172
2180	2180
2182	2182
2185	2185
2187	2187
2189	2189
2192	2192
2195	2195
2196	2196
2197	2197
2206	2206
2208	2208
2216	2216
2220	2220
2226	2226
2238	2238
2240	2240
2248	2248
2251	2251
2254	2254
2257	2257
2266	2266
2287	2287
2289	2289
2302	2302
2312	2312
2313	2313
2321	2321
2330	2330
2331	2331
2338	2338
2340	2340
2349	2349
2351	2351
2354	2354
2356	2356
2360	2360
2371	2371
2388	2388
2391	2391
2392	2392
2402	2402
2406	2406
2408	2408
2420	2420
2423	2423
2435	2435
2436	2436
2454	2454
2467	2467
2470	2470
2472	2472
2475	2475
2483	2483
2487	2487
2492	2492
2493	2493
2495	2495
2496	2496
2497	2497
2498	2498
2502	2502
2511	2511
2513	2513
2517	2517
2521	2521
2528	2528
2536	2536
2537	2537
2545	2545
2552	2552
2553	2553
2559	2559
2567	2567
2568	2568
2570	2570
2575	2575
2580	2580
2583	2583
2584	2584
2588	2588
2594	2594
2604	2604
2625	2625
2627	2627
2637	2637
2643	2643
2644	2644
2647	2647
2649	2649
2653	2653
2661	2661
2664	2664
2671	2671
2697	2697
2701	2701
2705	2705
2711	2711
2713	2713
2726	2726
2734	2734
2736	2736
2737	2737
